IP:Port,Loss,Latency
162.159.192.46:1843,0%,6.03
188.114.96.202:854,0%,6.03
162.159.195.215:939,0%,6.03
188.114.96.221:880,0%,6.07
188.114.97.212:864,0%,6.07
188.114.97.205:4198,0%,6.08
188.114.97.77:1843,0%,6.08
162.159.192.194:8886,0%,6.09
188.114.96.104:908,0%,6.09
162.159.195.60:1002,0%,6.10
188.114.96.13:988,0%,6.12
162.159.195.43:943,0%,6.12
188.114.97.153:5956,0%,6.12
162.159.192.85:1002,0%,6.13
188.114.99.41:1843,0%,6.13
188.114.97.119:1018,0%,6.13
188.114.97.92:4177,0%,6.13
162.159.195.204:903,0%,6.13
188.114.96.152:943,0%,6.14
162.159.195.4:903,0%,6.14
188.114.98.100:943,0%,6.15
188.114.97.171:2371,0%,6.15
188.114.98.88:903,0%,6.15
188.114.96.232:500,0%,6.15
162.159.195.238:894,0%,6.16
188.114.99.89:500,0%,6.16
188.114.98.189:939,0%,6.16
162.159.192.9:7152,0%,6.17
188.114.99.82:5956,0%,6.17
162.159.192.62:890,0%,6.18
162.159.195.22:988,0%,6.18
162.159.195.156:7156,0%,6.19
162.159.192.178:2408,0%,6.19
188.114.96.163:1387,0%,6.19
162.159.192.31:2506,0%,6.19
162.159.195.30:859,0%,6.19
162.159.192.130:500,0%,6.20
188.114.98.131:7156,0%,6.20
188.114.98.231:8742,0%,6.20
162.159.192.226:946,0%,6.21
162.159.192.245:4500,0%,6.22
162.159.192.212:3138,0%,6.23
162.159.195.120:934,0%,6.23
162.159.195.133:2506,0%,6.24
162.159.192.172:955,0%,6.24
162.159.192.108:4198,0%,6.24
188.114.98.195:943,0%,6.24
162.159.192.135:880,0%,6.25
188.114.97.50:894,0%,6.25
188.114.98.84:945,0%,6.25
162.159.195.194:8854,0%,6.25
188.114.99.168:968,0%,6.25
162.159.192.34:7559,0%,6.25
162.159.195.148:939,0%,6.27
162.159.195.199:894,0%,6.27
162.159.195.238:1843,0%,6.27
162.159.195.137:988,0%,6.28
162.159.195.171:4198,0%,6.28
188.114.97.14:988,0%,6.29
188.114.98.144:945,0%,6.30
188.114.99.224:8319,0%,6.30
162.159.195.122:4198,0%,6.31
188.114.97.8:945,0%,6.31
162.159.195.56:8742,0%,6.31
162.159.195.96:5956,0%,6.33
162.159.192.127:5279,0%,6.33
188.114.98.115:934,0%,6.34
162.159.192.14:7156,0%,6.36
188.114.98.81:894,0%,6.36
188.114.99.149:8854,0%,6.37
162.159.195.223:942,0%,6.38
162.159.192.245:890,0%,6.38
162.159.192.143:880,0%,6.38
188.114.96.69:2371,0%,6.38
162.159.192.42:854,0%,6.39
188.114.99.201:987,0%,6.39
188.114.96.1:928,0%,6.39
188.114.98.255:4500,0%,6.39
188.114.98.213:942,0%,6.39
162.159.192.4:908,0%,6.40
188.114.97.234:891,0%,6.40
162.159.195.74:8742,0%,6.40
162.159.195.4:3138,0%,6.40
188.114.97.77:854,0%,6.41
162.159.195.149:5279,0%,6.42
162.159.195.249:7559,0%,6.42
188.114.96.110:5279,0%,6.42
188.114.99.253:1843,0%,6.44
188.114.99.215:7152,0%,6.44
188.114.96.219:903,0%,6.44
188.114.99.57:908,0%,6.45
188.114.96.11:500,0%,6.45
188.114.98.116:4198,0%,6.46
188.114.98.50:8742,0%,6.47
188.114.99.75:1387,0%,6.47
188.114.96.117:8742,0%,6.47
188.114.98.80:864,0%,6.47
188.114.96.185:8319,0%,6.49
188.114.98.61:987,0%,6.49
162.159.195.124:894,0%,6.49
188.114.97.228:4500,0%,6.49
162.159.195.230:3138,0%,6.50
188.114.99.140:4177,0%,6.50
188.114.96.171:955,0%,6.51
188.114.98.106:903,0%,6.51
188.114.98.202:7103,0%,6.51
188.114.96.29:1070,0%,6.53
162.159.192.21:8854,0%,6.53
188.114.96.212:2506,0%,6.53
188.114.98.122:945,0%,6.54
188.114.98.64:878,0%,6.54
188.114.99.127:903,0%,6.54
188.114.99.135:1074,0%,6.55
162.159.195.235:1018,0%,6.55
188.114.99.147:1701,0%,6.55
188.114.96.96:903,0%,6.56
188.114.98.101:988,0%,6.56
188.114.99.106:3854,0%,6.57
188.114.98.241:3138,0%,6.57
162.159.195.25:4177,0%,6.57
162.159.192.155:894,0%,6.57
188.114.97.196:1002,0%,6.58
188.114.96.63:3854,0%,6.59
188.114.96.229:1010,0%,6.59
188.114.99.53:890,0%,6.59
188.114.96.180:3854,0%,6.60
162.159.195.235:1070,0%,6.60
188.114.98.134:955,0%,6.60
188.114.98.33:2371,0%,6.60
162.159.195.48:903,0%,6.60
162.159.195.176:7281,0%,6.60
162.159.192.151:1002,0%,6.61
188.114.96.221:946,0%,6.62
188.114.99.141:8854,0%,6.62
188.114.97.41:8319,0%,6.62
188.114.96.202:928,0%,6.62
188.114.99.118:894,0%,6.63
188.114.98.211:908,0%,6.63
188.114.98.126:5956,0%,6.63
162.159.195.192:1074,0%,6.63
188.114.98.107:903,0%,6.64
188.114.98.158:7559,0%,6.64
188.114.98.221:7156,0%,6.64
188.114.99.94:880,0%,6.64
162.159.195.222:1180,0%,6.64
188.114.99.181:946,0%,6.65
162.159.192.70:880,0%,6.65
188.114.97.66:7281,0%,6.65
188.114.97.7:3581,0%,6.65
162.159.195.228:908,0%,6.66
188.114.96.154:4500,0%,6.66
188.114.99.162:4198,0%,6.66
188.114.99.222:7156,0%,6.66
188.114.99.101:7103,0%,6.67
188.114.99.103:945,0%,6.67
162.159.195.247:1701,0%,6.67
188.114.99.161:854,0%,6.67
162.159.195.110:1014,0%,6.67
162.159.192.20:1002,0%,6.67
188.114.97.192:878,0%,6.68
162.159.195.212:5279,0%,6.68
188.114.99.18:1070,0%,6.68
188.114.99.76:1070,0%,6.68
188.114.99.21:1387,0%,6.68
162.159.192.181:903,0%,6.69
188.114.97.127:945,0%,6.69
188.114.96.156:1074,0%,6.69
162.159.195.33:5956,0%,6.69
188.114.99.120:988,0%,6.70
188.114.97.64:2408,0%,6.70
188.114.99.207:8742,0%,6.70
188.114.98.0:8886,0%,6.70
188.114.97.224:894,0%,6.70
188.114.97.253:4500,0%,6.70
188.114.98.61:891,0%,6.70
188.114.96.89:8886,0%,6.70
188.114.96.120:7559,0%,6.71
188.114.96.73:945,0%,6.71
188.114.99.109:968,0%,6.71
188.114.98.107:864,0%,6.71
188.114.98.207:2371,0%,6.71
162.159.192.253:939,0%,6.72
188.114.97.210:8886,0%,6.72
188.114.96.208:7152,0%,6.72
188.114.99.25:4500,0%,6.72
188.114.98.210:908,0%,6.72
162.159.192.167:943,0%,6.72
162.159.195.11:3138,0%,6.72
162.159.192.240:891,0%,6.73
162.159.192.125:3138,0%,6.73
162.159.192.132:1002,0%,6.73
188.114.98.15:4177,0%,6.73
188.114.98.51:1074,0%,6.73
188.114.99.2:4198,0%,6.73
188.114.98.98:908,0%,6.73
188.114.98.182:934,0%,6.74
188.114.97.81:1070,0%,6.74
188.114.97.45:1074,0%,6.74
162.159.195.228:1843,0%,6.74
188.114.98.222:1843,0%,6.74
188.114.98.95:1843,0%,6.74
162.159.192.134:8854,0%,6.74
188.114.98.67:890,0%,6.75
188.114.99.46:890,0%,6.75
188.114.97.36:4198,0%,6.75
188.114.99.230:939,0%,6.75
188.114.99.87:854,0%,6.75
188.114.96.56:854,0%,6.76
188.114.97.185:4198,0%,6.76
188.114.96.132:4198,0%,6.77
188.114.96.216:1180,0%,6.77
188.114.99.8:3854,0%,6.77
188.114.96.222:8742,0%,6.77
162.159.192.205:3476,0%,6.77
188.114.97.161:8742,0%,6.77
188.114.99.173:8886,0%,6.78
188.114.98.153:943,0%,6.78
188.114.98.43:946,0%,6.78
162.159.192.18:939,0%,6.78
188.114.97.32:890,0%,6.78
162.159.195.170:934,0%,6.79
188.114.98.42:7103,0%,6.79
188.114.97.104:8319,0%,6.79
162.159.192.34:7156,0%,6.79
188.114.97.235:987,0%,6.79
188.114.97.94:1070,0%,6.80
188.114.99.159:987,0%,6.80
188.114.97.135:4177,0%,6.80
188.114.98.97:8854,0%,6.80
188.114.97.171:988,0%,6.80
188.114.96.150:859,0%,6.80
188.114.98.113:8319,0%,6.81
188.114.96.204:1701,0%,6.81
188.114.99.125:8854,0%,6.81
188.114.98.14:4500,0%,6.81
188.114.97.115:8742,0%,6.81
188.114.96.182:4198,0%,6.81
188.114.98.145:1180,0%,6.81
188.114.96.116:500,0%,6.82
162.159.195.183:7152,0%,6.82
162.159.195.130:8886,0%,6.82
188.114.96.135:7281,0%,6.82
188.114.97.72:2408,0%,6.82
188.114.99.45:7156,0%,6.82
188.114.98.57:890,0%,6.82
162.159.195.137:8886,0%,6.83
162.159.195.127:928,0%,6.83
162.159.195.165:5279,0%,6.83
188.114.99.80:987,0%,6.83
188.114.96.72:1387,0%,6.83
188.114.98.98:3476,0%,6.83
188.114.99.220:943,0%,6.83
188.114.97.58:3854,0%,6.84
162.159.195.178:987,0%,6.84
188.114.97.37:894,0%,6.84
162.159.192.224:8886,0%,6.84
188.114.98.248:2371,0%,6.85
162.159.195.25:7559,0%,6.85
162.159.192.125:1701,0%,6.85
188.114.96.177:942,0%,6.85
162.159.192.227:7559,0%,6.85
188.114.96.213:7281,0%,6.86
188.114.99.134:943,0%,6.86
162.159.192.224:5279,0%,6.86
188.114.96.183:2408,0%,6.86
188.114.96.173:8854,0%,6.86
188.114.97.184:5956,0%,6.86
188.114.97.191:946,0%,6.86
188.114.99.221:1180,0%,6.86
162.159.195.47:8886,0%,6.87
188.114.99.160:854,0%,6.87
188.114.99.120:1002,0%,6.87
188.114.96.209:4233,0%,6.87
162.159.195.139:3581,0%,6.87
162.159.195.139:4198,0%,6.87
188.114.96.75:1070,0%,6.87
188.114.99.192:1074,0%,6.88
188.114.96.21:934,0%,6.88
162.159.195.143:7559,0%,6.88
188.114.98.44:859,0%,6.88
188.114.96.87:859,0%,6.88
162.159.192.161:864,0%,6.88
188.114.96.145:880,0%,6.88
188.114.96.47:7103,0%,6.88
188.114.98.24:943,0%,6.89
162.159.195.173:1070,0%,6.89
162.159.195.134:854,0%,6.89
188.114.98.39:1387,0%,6.89
188.114.98.30:2371,0%,6.89
188.114.99.83:864,0%,6.89
188.114.97.149:2371,0%,6.89
162.159.192.12:3854,0%,6.90
162.159.192.224:1070,0%,6.91
188.114.98.170:1180,0%,6.91
188.114.96.85:880,0%,6.91
162.159.192.247:942,0%,6.91
188.114.99.46:8319,0%,6.91
188.114.98.130:4233,0%,6.91
188.114.99.105:4500,0%,6.92
188.114.96.82:934,0%,6.92
188.114.97.65:1010,0%,6.92
188.114.99.119:7156,0%,6.93
162.159.195.203:890,0%,6.93
162.159.195.186:3138,0%,6.94
162.159.192.37:8742,0%,6.94
188.114.96.25:500,0%,6.94
188.114.99.239:878,0%,6.94
188.114.96.16:894,0%,6.94
188.114.97.52:1002,0%,6.95
162.159.195.179:946,0%,6.95
188.114.97.252:7103,0%,6.95
188.114.98.219:939,0%,6.95
162.159.192.243:8742,0%,6.95
188.114.98.59:968,0%,6.96
188.114.99.196:988,0%,6.96
162.159.192.60:878,0%,6.96
188.114.99.62:878,0%,6.96
188.114.97.45:988,0%,6.96
162.159.192.33:928,0%,6.96
162.159.195.248:5279,0%,6.97
188.114.96.239:8854,0%,6.97
188.114.98.124:1002,0%,6.97
188.114.97.102:1002,0%,6.97
188.114.98.55:988,0%,6.98
162.159.192.220:3854,0%,6.99
188.114.99.244:3476,0%,6.99
188.114.96.148:894,0%,6.99
188.114.98.241:903,0%,6.99
188.114.96.49:4233,0%,6.99
188.114.96.112:946,0%,6.99
162.159.192.105:903,0%,6.99
188.114.98.220:939,0%,7.00
188.114.97.48:890,0%,7.00
162.159.192.99:945,0%,7.00
188.114.98.171:1010,0%,7.00
188.114.97.240:987,0%,7.00
188.114.97.157:1002,0%,7.01
162.159.195.202:4177,0%,7.01
162.159.192.198:854,0%,7.01
188.114.99.194:988,0%,7.01
188.114.97.246:7281,0%,7.01
188.114.97.171:864,0%,7.02
188.114.98.185:928,0%,7.02
188.114.97.136:7559,0%,7.02
188.114.99.187:859,0%,7.02
162.159.195.55:988,0%,7.02
188.114.96.192:928,0%,7.02
188.114.96.52:1701,0%,7.02
188.114.99.194:1180,0%,7.03
162.159.195.84:945,0%,7.03
188.114.99.167:987,0%,7.03
188.114.97.73:3854,0%,7.03
188.114.98.94:3581,0%,7.03
188.114.96.153:2408,0%,7.03
162.159.192.174:942,0%,7.03
188.114.97.34:854,0%,7.04
188.114.97.228:987,0%,7.04
188.114.98.226:894,0%,7.04
162.159.195.206:928,0%,7.04
188.114.96.61:939,0%,7.04
188.114.98.134:5956,0%,7.04
188.114.97.179:894,0%,7.05
162.159.195.126:928,0%,7.05
188.114.97.5:5279,0%,7.05
188.114.96.189:891,0%,7.05
162.159.192.140:942,0%,7.05
188.114.99.78:891,0%,7.05
188.114.97.31:891,0%,7.05
188.114.96.54:988,0%,7.05
188.114.99.225:3476,0%,7.05
188.114.96.236:1002,0%,7.06
188.114.98.166:1180,0%,7.07
162.159.192.65:903,0%,7.07
188.114.99.152:7559,0%,7.08
162.159.195.248:1070,0%,7.08
188.114.96.186:4233,0%,7.09
188.114.97.166:4198,0%,7.09
188.114.96.250:946,0%,7.09
188.114.97.201:3476,0%,7.09
162.159.195.181:3476,0%,7.09
162.159.195.71:1018,0%,7.09
188.114.97.129:8742,0%,7.09
188.114.96.212:934,0%,7.09
188.114.99.131:1014,0%,7.09
162.159.195.124:854,0%,7.10
188.114.99.148:946,0%,7.10
162.159.192.238:2506,0%,7.10
188.114.98.2:894,0%,7.11
188.114.97.90:3581,0%,7.11
162.159.192.117:7281,0%,7.11
188.114.96.124:1018,0%,7.11
188.114.97.102:1018,0%,7.12
188.114.99.14:988,0%,7.12
188.114.97.228:934,0%,7.12
188.114.98.181:1010,0%,7.12
162.159.192.25:1010,0%,7.12
188.114.97.97:2371,0%,7.13
188.114.99.11:5279,0%,7.13
162.159.195.232:3138,0%,7.13
162.159.192.142:942,0%,7.14
162.159.192.213:955,0%,7.14
162.159.192.104:7156,0%,7.14
188.114.98.56:1701,0%,7.14
188.114.96.39:4233,0%,7.14
188.114.98.231:1070,0%,7.14
188.114.97.97:945,0%,7.14
188.114.96.248:946,0%,7.15
188.114.97.23:8742,0%,7.15
188.114.99.211:880,0%,7.15
162.159.195.233:1010,0%,7.15
188.114.98.105:500,0%,7.15
162.159.195.254:500,0%,7.15
188.114.98.64:1180,0%,7.15
188.114.97.214:3581,0%,7.15
188.114.97.177:8886,0%,7.16
162.159.195.90:1701,0%,7.16
188.114.96.188:859,0%,7.16
188.114.97.60:3476,0%,7.17
188.114.96.150:928,0%,7.17
188.114.96.252:8854,0%,7.19
188.114.96.15:3476,0%,7.19
188.114.98.250:903,0%,7.20
188.114.96.224:1002,0%,7.20
188.114.98.209:878,0%,7.21
188.114.97.11:8742,0%,7.21
188.114.96.177:890,0%,7.21
188.114.96.90:890,0%,7.22
188.114.97.75:880,0%,7.22
188.114.97.221:1387,0%,7.22
188.114.98.255:890,0%,7.22
188.114.99.39:955,0%,7.23
188.114.99.37:1010,0%,7.23
188.114.97.61:1387,0%,7.24
162.159.195.109:1070,0%,7.25
188.114.97.16:7156,0%,7.25
188.114.97.158:2371,0%,7.26
188.114.99.247:8854,0%,7.27
188.114.97.41:7103,0%,7.27
188.114.97.203:2371,0%,7.27
